"Extension name","Extension URL","Extension Description"
"Event Thing for Magento 2",https://github.com/cmtickle/module-event-thing,"A module that enables the logic/integration touch points of Magento Plugins & Observers to be handled outside the core Magento application."
"Catalog Data AI",https://github.com/mage-os-lab/module-catalog-data-ai,"Generate product descriptions and similar content with the help of AI."
"Image Cleanup module for Magento 2",https://github.com/baldwin-agency/magento2-module-image-cleanup,"This extension gives options to delete unused product images from the disk to recover some space."
"M2 Magewire with Breeze theme Module",https://github.com/olivertar/magewire-breeze,"An extension that allows you to use Magewire with Breeze theme."
"CustomGento_Cookiebot
",https://github.com/customgento/module-cookiebot-m2,"A Magento 2 module that integrates Cookiebot into your store."
"Magento 2 Data GridsJS
",https://github.com/Genaker/magento_gridjs,"A Magento 2 extension for GridJS and DataTable integration with Magento 2."
"Discorgento Migrations",https://github.com/discorgento/module-migrations,"A dev-friendly approach to keep track of database changes in Magento 2."
"Yireo - Magento 2 Category Extended
",https://github.com/yireo/Yireo_CategoryExtended,"This module seamlessly integrates CMS pages and custom URLs into your Magento 2 category structure, allowing you to create a more versatile and informative menu for your customers. "
"Magento 2 Customer Session Timeout Popup
",https://github.com/enanobots/m2-customer-timeout-popup,"This module displays a popup to the customer indicating the number of seconds remaining until they are automatically logged out of the system."
"Regenerate URL rewrites extension",https://github.com/olegkoval/magento2-regenerate_url_rewrites,"This extension adds a CLI command that allows the regeneration of URL rewrites of products and categories in all stores or a specific store."
"Module for integrating BuilderIO/partytown library into Magento 2",https://github.com/rostilos/perspective-partytown,"Module for integrating BuilderIO/partytown library into Magento 2
Partytown is a lazy-loaded library to help relocate resource-intensive scripts into a web worker and off of the main thread. This module allows using the BuilderIO/partytown in a Magento 2 project."
"Magento 2 Tweakwise",https://github.com/EmicoEcommerce/Magento2Tweakwise,"Magento 2 module for Tweakwise integration"
"Tweakwise Hyvä",https://github.com/EmicoEcommerce/Magento2TweakwiseHyva,"Hyvä Themes Compatibility module for Magento 2 Tweakwise extension"
"Adyen Payment - Integration with Hyva Checkout",https://github.com/Adyen/adyen-magento2-hyva/,"This module supports Adyen payments via the Hyvä Checkout implementation for Magento 2."
"Ideal-Postcodes UK Address Search and Validation",https://github.com/ideal-postcodes/magento,"This extension enables Ideal-Postcodes.co.uk address validation for UK addresses on a Magento store."
"Magento 2 fraud protection extension by Riskified",https://github.com/Riskified/magento2new,"This extension allows for automatic and/or manual submission of purchase orders to Riskified for fraud review and guarantee."
"Vendic Hyvä Checkout Hide Business Fields",https://github.com/Vendic/hyva-checkout-hide-business-fields,"This module adds a customer type field to the checkout and hides the business fields when the customer type is set to ""consumer"". Business fields can be configured via di.xml."
"Consent Mode V2",https://github.com/elgentos/magento2-consentmode-v2,"This extension is based on the Hyvä default cookie bar. All the features of that extension are also in this one."
"SEO module for Magento 2",https://github.com/28software/module-seo,"SEO module for Magento 2 that adds page visibility for search engines on the product level."
"Mollie for Magento 2",https://github.com/mollie/magento2-hyva-checkout,"The Mollie Magento 2 extension quickly integrates all major payment methods ready-made into your Magento webshop."
"Hyvä Checkout support for Mollie",https://github.com/mollie/magento2-hyva-checkout,"This module adds support for the Mollie payment methods to the Hyvä Checkout module. This module has a dependency on the Mollie Magento 2 module."
"Magento 2 Vurbis extension",https://gitlab.com/vurbis/vurbis-interactive-magento-2-punch-out-extension,"The official Magento 2 Vurbis extension."
"elgentos Magento 2 Vurbis extension",https://github.com/elgentos/magento2-vurbis-punchout,"An unofficial version of the original Magento 2 Vurbis extension that contains some bug fixes, some new features, and a lot of refactoring. Comes with a Hyvä compatibility configuration option."
"Vendic Hyva Checkout Create Account",https://github.com/Vendic/hyva-checkout-create-account,
"Geissweb EU VAT compatibility module for Hyvä Checkout",https://github.com/Vendic/hyva-checkout-geissweb-euvat,"This module adds EU VIES VAT number validation to Hyvä Checkout. It needs a valid license for Geissweb EUVAT and Hyvä Checkout to work."
"Magento 2 QuickLink Extension",https://github.com/collabpl/magento2-module-quicklink,"The Collab_QuickLink module allows the embedding and configuring of Quicklink in a Magento 2 store."
"Elgentos CategoryTiling",https://github.com/elgentos/CategoryTiling,"The extension adds tiling display options to categories 'Display Mode' to show sub-categories as tiles."
"International Address API module for Magento 2",https://github.com/postcode-nl/PostcodeNl_Api_Magento2,"This extension adds address autocompletion to the checkout page. Multiple countries are supported using official postal data via the Postcode.eu API."
"Trinos - Postcode.nl Magento 2 module",https://github.com/trinos-nl/magento2-postcode-nl,"This extension adds Postcode.nl integration for Hyvä Checkout."
"MultiSafepay module for the Hyvä Checkout",https://github.com/MultiSafepay/magento2-hyva-checkout,"The MultiSafepay module for Hyvä Checkout integration."
"ShipperHQ Shipping Tracker",https://github.com/shipperhq/module-shipping-tracker,"This extension allows you to enter custom shipment tracking URLs. Customers will see a clickable shipping tracking link in the new shipment email and when viewing their order in Magento."
"Cookie domain cleaner",https://github.com/blackbird-agency/cookie-domain-cleaner,"This extension will gradually clean cookies from parent domains while navigating a site on a subdomain. This allows the hosting of several site environments on the same domain name while avoiding cookie conflicts with subdomains."
"Authorize.net CIM for Magento 2",https://github.com/ParadoxLabs-Inc/authnetcim,"This extension brings Authorize.net's Customer Information Manager (CIM) service to Magento 2."
"Authorize.net CIM for Hyva Checkout ",https://github.com/ParadoxLabs-Inc/authnetcim-hyva-checkout,"This extension adds support for Hyva Checkout to Authorize.net CIM payment method for Magento 2."
Devall_Wholesale,https://github.com/developersalliance/module-wholesale,"This extension allows the showcase of all simple products in a table grid view, facilitating customers' selection of all their desired items at once."
"Advanced Shipping Module for Magento 2",https://github.com/owebia/magento2-module-advanced-shipping,"This extension helps configure the shipping fees in a very flexible manner. It uses almost all available variables: destination, weight, price, quantity, categories, product attributes, item options, customer group, customer attributes, coupon code, Magento custom variables, date, and more."
"Structured Data Module for Magento 2",https://github.com/outeredge/magento-structured-data-module,"This extension lets you quickly add structured data markup (Rich Snippets) to any Magento 2 store by setting a few configuration options."
"elgentos Hyvä Checkout A/B Test",https://github.com/elgentos/magento2-hyva-checkout-ab-test,"This extension allows you to set up an A/B test with different available Hyvä and the Luma fallback checkout."
Zero1_LayoutXmlPlus,https://github.com/zero1limited/magento2-module-layout-xml-plus,"This module aims to reduce the need to override block templates. For example, changing a single class for a button shouldn't require overriding the template."
"Magento 2 - Crawler Session",https://github.com/friends-of-hyva/magento2-crawler-session,"This module prevents the initiation of a session if a crawler is detected. Detection based on https://github.com/JayBizzle/Crawler-Detect."
"Yireo DumpCmsContent",https://github.com/yireo/Yireo_DumpCmsContent,"A Magento 2 module that adds a CLI bin/magento cms:dump to dump all CMS pages and CMS blocks to a folder var/cms-output."
"IMI FriendlyCaptcha",https://github.com/iMi-digital/magento2-friendly-captcha,"This extension adds a Friendly Captcha widget to Login, Register, Contact form, Forgot password, Send to Friend, Newsletter signup, Product Reviews."
"Magento 2 GTM Consent Mode v2 Extension",https://github.com/collabpl/magento2-module-consent-mode,"This extension extends the native Magento_Cookie module,"
"Mooore Wordpress Integration Cms",https://github.com/mooore-digital/magento2-module-wordpress-integration-cms,"A module for integrating WordPress pages into Magento 2 frontend."
"Magento2 Always Login As Customer",https://github.com/fruitcake/magento2-alwaysloginascustomer,"This module enables the 'Login as Customer' feature, regardless of the 'Allow remote shopping assistance' Customer setting."
"Magento 2 Social Login Extension",https://github.com/mageplaza/magento-2-social-login,"This extension allows quick login to a Magento store through Facebook, Google Plus, Twitter, and LinkedIn."
"Magento 2 Product Attachments",https://github.com/lizardmedia/product-attachments-magento2,"This extension adds the possibility to add attachments for products."
"Magento Cloudflare Turnstile",https://github.com/Pixel-Open/magento-cloudflare-turnstile,"The module allows Turnstile (Cloudflare's smart CAPTCHA alternative) to protect your Magento OpenSource or Adobe Commerce forms."
